Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Daily Return,MA50,MA200
2021-03-02,718.280029,721.109985,685.0,686.440002,686.440002,23732200,2021,2021-03,-0.04452763847792185,778.4345983400001,467.74315896
2021-03-03,687.98999,700.700012,651.710022,653.200012,653.200012,30208000,2021,2021-03,-0.04842373682062895,778.3805980999999,470.20998901999997
2021-03-04,655.799988,668.450012,600.0,621.440002,621.440002,65919500,2021,2021-03,-0.04862218220534875,776.90939814,472.50355903999997
2021-03-05,626.059998,627.840027,539.48999,597.950012,597.950012,89396500,2021,2021-03,-0.037799288627062055,775.8711986800001,474.685299075
2021-03-08,600.549988,620.130005,558.789978,563.0,563.0,51787000,2021,2021-03,-0.05844972204800292,774.32439814,476.684739075
2021-03-09,608.179993,678.090027,595.210022,673.580017,673.580017,67523300,2021,2021-03,0.19641210834813494,774.87639888,479.22503914000004
2021-03-10,700.299988,717.849976,655.059998,668.059998,668.059998,60605700,2021,2021-03,-0.008195045667454881,775.0021984399999,481.748459095
2021-03-11,699.400024,702.5,677.179993,699.599976,699.599976,36253900,2021,2021-03,0.047211295533967856,775.7203979200001,484.427588965
2021-03-12,670.0,694.880005,666.140015,693.72998,693.72998,33583800,2021,2021-03,-0.008390503432493035,776.27519772,487.07600884
2021-03-15,694.090027,713.179993,684.039978,707.940002,707.940002,29335600,2021,2021-03,0.020483505700589877,776.5383971800001,489.809898835
2021-03-16,703.349976,707.919983,671.0,676.880005,676.880005,32195700,2021,2021-03,-0.04387377025207295,775.96259762,492.35929885999997
2021-03-17,656.869995,703.72998,651.01001,701.809998,701.809998,40372500,2021,2021-03,0.036830742252461635,775.4033971800001,494.970248875
2021-03-18,684.289978,689.22998,652.0,653.159973,653.159973,33224800,2021,2021-03,-0.06932079214978626,773.76439694,497.35448876000004
2021-03-19,646.599976,657.22998,624.619995,654.869995,654.869995,42894000,2021,2021-03,0.002618075311850099,771.7421972400001,499.74587876
2021-03-22,684.590027,699.619995,668.75,670.0,670.0,39512200,2021,2021-03,0.023103829944140175,768.8213976800001,502.231498725
2021-03-23,675.77002,677.799988,657.51001,662.159973,662.159973,30491900,2021,2021-03,-0.011701532835820871,764.46419674,504.65663857
2021-03-24,667.909973,668.02002,630.109985,630.27002,630.27002,33795200,2021,2021-03,-0.04816049640620601,760.8457971,506.8580687
2021-03-25,613.0,645.5,609.5,640.390015,640.390015,39224900,2021,2021-03,0.016056602216300675,756.66479736,509.11934876
2021-03-26,641.869995,643.820007,599.890015,618.710022,618.710022,33852800,2021,2021-03,-0.03385435826946792,751.95079834,511.187848895
2021-03-29,615.640015,616.47998,596.02002,611.289978,611.289978,28637000,2021,2021-03,-0.011992765166490171,747.2765979,513.27145882
2021-03-30,601.75,637.659973,591.01001,635.619995,635.619995,39432400,2021,2021-03,0.03980110565463901,743.4657983399999,515.514278795
2021-03-31,646.619995,672.0,641.109985,667.929993,667.929993,33337300,2021,2021-03,0.0508322555208478,739.93339844,517.8630287950001
2021-04-01,688.369995,692.419983,659.419983,661.75,661.75,35298400,2021,2021-04,-0.009252456192665681,736.1593981999999,520.18964882
2021-04-05,707.710022,708.159973,684.700012,691.049988,691.049988,41842800,2021,2021-04,0.04427652134491877,733.0805981600001,522.65310875
2021-04-06,690.299988,696.549988,681.369995,691.619995,691.619995,28271800,2021,2021-04,0.0008248419215659553,729.98019776,525.10724869
2021-04-07,687.0,691.380005,667.840027,670.969971,670.969971,26309400,2021,2021-04,-0.029857471081355946,725.78359742,527.4611985800001
2021-04-08,677.380005,689.549988,671.650024,683.799988,683.799988,23924300,2021,2021-04,0.01912159642685407,721.79779664,529.88587853
2021-04-09,677.77002,680.969971,669.429993,677.02002,677.02002,21437100,2021,2021-04,-0.009915133253848407,718.0549975800001,532.2691986149999
2021-04-12,685.700012,704.799988,682.090027,701.97998,701.97998,29135700,2021,2021-04,0.0368673883528583,715.38599732,534.8182485250001
2021-04-13,712.700012,763.0,710.659973,762.320007,762.320007,44652800,2021,2021-04,0.08595690577956372,714.76179688,537.643868565
2021-04-14,770.700012,780.789978,728.030029,732.22998,732.22998,49017400,2021,2021-04,-0.039471648026679795,712.61019652,540.345278475
2021-04-15,743.099976,743.690002,721.309998,738.849976,738.849976,27848900,2021,2021-04,0.009040869919038297,709.9313964800001,543.03017838
2021-04-16,728.650024,749.409973,724.599976,739.780029,739.780029,27979500,2021,2021-04,0.0012587846385745394,707.6331970199999,545.649268495
2021-04-19,719.599976,725.400024,691.799988,714.630005,714.630005,39686200,2021,2021-04,-0.03399662469125675,704.9259973199999,548.102788545
2021-04-20,717.419983,737.25,710.690002,718.98999,718.98999,35609000,2021,2021-04,0.006101038256852931,702.26119752,550.48907852
2021-04-21,704.77002,744.840027,698.0,744.119995,744.119995,31215500,2021,2021-04,0.0349518148368102,699.87519776,552.838098445
2021-04-22,741.5,753.77002,718.039978,719.690002,719.690002,35590300,2021,2021-04,-0.03283071704046869,697.2797973600001,555.04668853
2021-04-23,719.799988,737.359985,715.460022,729.400024,729.400024,28370000,2021,2021-04,0.013491950663502505,695.7713977,557.327808675
2021-04-26,741.0,749.299988,732.609985,738.200012,738.200012,31038500,2021,2021-04,0.01206469387228859,694.3021984799999,559.6245287950001
2021-04-27,717.960022,724.0,703.349976,704.73999,704.73999,29437000,2021,2021-04,-0.04532649885678952,692.07459838,561.60357878
2021-04-28,696.409973,708.5,693.599976,694.400024,694.400024,22271000,2021,2021-04,-0.01467202960910452,690.03819944,563.5785189650001
2021-04-29,699.51001,702.25,668.5,677.0,677.0,28845400,2021,2021-04,-0.025057637382800646,687.6151989600002,565.4467190400001
2021-04-30,667.590027,715.469971,666.140015,709.440002,709.440002,40758700,2021,2021-04,0.047917285081240824,686.0563988999999,567.4479090699999
2021-05-03,703.799988,706.0,680.5,684.900024,684.900024,27043100,2021,2021-05,-0.0345906319502971,684.12839962,569.371769235
2021-05-04,678.940002,683.450012,657.700012,673.599976,673.599976,29739300,2021,2021-05,-0.016498828447989777,683.31039914,571.23892912
2021-05-05,681.059998,685.299988,667.340027,670.940002,670.940002,21901900,2021,2021-05,-0.003948892658511505,682.75239864,572.9506291
2021-05-06,680.76001,681.02002,650.0,663.539978,663.539978,27784600,2021,2021-05,-0.011029337910903103,681.1827978,574.6999690050001
2021-05-07,665.799988,690.0,660.219971,672.369995,672.369995,23469200,2021,2021-05,0.013307437822533075,680.98579828,576.469488965
2021-05-10,664.900024,665.049988,627.609985,629.039978,629.039978,31392400,2021,2021-05,-0.06444371004390226,680.05659784,578.101618785
2021-05-11,599.23999,627.099976,595.599976,617.200012,617.200012,46503900,2021,2021-05,-0.01882227905076006,678.03199822,579.770618875
2021-05-12,602.48999,620.409973,586.77002,589.890015,589.890015,33823600,2021,2021-05,-0.04424821203665186,676.1009984799999,581.180468885
2021-05-13,601.539978,606.460022,559.650024,571.690002,571.690002,44184900,2021,2021-05,-0.030853231173950113,674.47079828,582.562428875
2021-05-14,583.409973,592.869995,570.460022,589.73999,589.73999,33370900,2021,2021-05,0.03157303422633584,673.83679804,584.01201887
2021-05-17,575.549988,589.72998,561.200012,576.830017,576.830017,32390400,2021,2021-05,-0.0218909574031092,673.41439814,585.408679025
2021-05-18,568.0,596.25,563.380005,577.869995,577.869995,36830600,2021,2021-05,0.0018029193511959196,673.71179804,586.86726896
2021-05-19,552.549988,566.210022,546.97998,563.460022,563.460022,39578400,2021,2021-05,-0.0249363578740579,671.50939814,588.19956907
2021-05-20,575.0,588.849976,571.070007,586.780029,586.780029,30821100,2021,2021-05,0.04138715452646613,669.8837987600001,589.646469245
2021-05-21,596.109985,596.679993,580.0,580.880005,580.880005,26030600,2021,2021-05,-0.010054916166889583,667.50939934,591.0658492800001
2021-05-24,581.599976,614.47998,573.650024,606.440002,606.440002,34558100,2021,2021-05,0.04400219800989724,665.76359978,592.608469365
2021-05-25,607.309998,613.98999,595.710022,604.690002,604.690002,28005900,2021,2021-05,-0.0028856935463171807,663.6985997800001,594.1792094150001
2021-05-26,607.559998,626.169983,601.5,619.130005,619.130005,28639300,2021,2021-05,0.023880009512708744,662.54359978,595.8562894949999
2021-05-27,620.23999,631.130005,616.210022,630.849976,630.849976,26370600,2021,2021-05,0.01892974158149552,661.1243993400001,597.63614942
2021-05-28,628.5,635.590027,622.380005,625.219971,625.219971,22737000,2021,2021-05,-0.008924475254319386,660.5655993,599.2074892950001
2021-06-01,627.799988,633.799988,620.549988,623.900024,623.900024,18084900,2021,2021-06,-0.0021111721653561677,659.9461998799999,600.7059893549999
2021-06-02,620.130005,623.359985,599.140015,605.119995,605.119995,23302800,2021,2021-06,-0.03010102304467932,658.6485997799999,602.0808793399999
2021-06-03,601.799988,604.549988,571.219971,572.840027,572.840027,30111900,2021,2021-06,-0.053344738674517056,656.86220086,603.1094395199999
2021-06-04,579.710022,600.609985,577.200012,599.049988,599.049988,24036900,2021,2021-06,0.04575441618013887,656.23780022,604.217599465
2021-06-07,591.830017,610.0,582.880005,605.130005,605.130005,22543700,2021,2021-06,0.010149431803343933,655.5326000199999,605.36471952
2021-06-08,623.01001,623.090027,595.5,603.590027,603.590027,26053400,2021,2021-06,-0.0025448713289304425,655.2302001200001,606.3808396700001
2021-06-09,602.169983,611.789978,597.630005,598.780029,598.780029,16584600,2021,2021-06,-0.00796898189969586,654.98000114,607.324759805
2021-06-10,603.880005,616.590027,600.5,610.119995,610.119995,23919600,2021,2021-06,0.01893845060086341,654.4700011399999,608.3611598
2021-06-11,610.22998,612.559998,601.52002,609.890015,609.890015,16205300,2021,2021-06,-0.00037694224395989906,653.30920158,609.3872698800001
2021-06-14,612.22998,625.48999,609.179993,617.690002,617.690002,20424000,2021,2021-06,0.012789169863684613,652.42800162,610.322549875
2021-06-15,616.690002,616.789978,598.22998,599.359985,599.359985,17764100,2021,2021-06,-0.029675107158363856,650.59420156,611.0805998
2021-06-16,597.539978,608.5,593.5,604.869995,604.869995,22144100,2021,2021-06,0.009193156263176183,648.85920156,611.89154981
2021-06-17,601.890015,621.469971,601.340027,616.599976,616.599976,22701400,2021,2021-06,0.019392565504922965,647.7718016599999,612.482949655
2021-06-18,613.369995,628.349976,611.799988,623.309998,623.309998,24560900,2021,2021-06,0.010882293644461694,646.56200186,613.224249705
2021-06-21,624.47998,631.390015,608.880005,620.830017,620.830017,24812700,2021,2021-06,-0.003978728093496642,645.4382018,614.091549815
2021-06-22,618.25,628.570007,615.5,623.710022,623.710022,19158900,2021,2021-06,0.004638959008323784,643.87280264,615.175099925
2021-06-23,632.0,657.200012,630.039978,656.570007,656.570007,31099200,2021,2021-06,0.05268471539807984,641.75780264,616.366349925
2021-06-24,674.98999,697.619995,667.609985,679.820007,679.820007,45982400,2021,2021-06,0.03541130382460489,640.70960318,618.114400005
2021-06-25,689.580017,693.809998,668.700012,671.869995,671.869995,32496700,2021,2021-06,-0.011694289544497027,639.37000356,619.642349985
2021-06-28,671.640015,694.700012,670.320007,688.719971,688.719971,21628200,2021,2021-06,0.025079220869209884,638.3488024,621.22924986
